SESno,SESitem,serviceNumber,serviceText,unit,quantity,fQuantity,price,value,currency,plant,accountAssign,sakto,profitCenter,POitem
SES0000001,00010,SRV-IT-001,Server Rack Installation and Configuration,EA,10.000,10.000,4500.00,45000.00,EUR,1000,CC,0041700000,PC-IT-001,00010
SES0000002,00010,SRV-IT-001,Server Hardware Installation Phase 2,EA,5.000,5.000,7700.00,38500.00,EUR,1000,CC,0041700000,PC-IT-001,00010
SES0000003,00010,SRV-NW-001,Network Switch Installation and Setup,EA,4.000,4.000,1500.00,6000.00,EUR,1000,CC,0041700010,PC-IT-001,00020
SES0000003,00020,SRV-NW-002,Wireless Access Point Configuration,EA,4.000,4.000,1500.00,6000.00,EUR,1000,CC,0041700010,PC-IT-001,00020
SES0000004,00010,SRV-SW-001,Enterprise Software License Package,EA,1.000,1.000,8500.00,8500.00,EUR,1200,CC,0041800000,PC-SW-001,00030
SES0000005,00010,SRV-NW-003,Network Cabling Installation,M,100.000,100.000,120.00,12000.00,EUR,1000,CC,0041700010,PC-NW-001,00010
SES0000005,00020,SRV-NW-004,Wireless Access Point Installation,EA,20.000,20.000,500.00,10000.00,EUR,2000,CC,0041700010,PC-NW-001,00010
SES0000006,00010,SRV-DEV-001,Frontend Development Services,HR,120.000,120.000,150.00,18000.00,EUR,1000,CC,0042100000,PC-DEV-001,00010
SES0000006,00020,SRV-DEV-001,Frontend Development Services - Phase 2,HR,120.000,120.000,150.00,18000.00,EUR,1000,CC,0042100000,PC-DEV-001,00010
SES0000007,00010,SRV-CLD-001,SAP BTP Platform Setup and Configuration,DAY,10.000,10.000,2500.00,25000.00,EUR,1000,CC,0042200000,PC-CLD-001,00010
SES0000007,00020,SRV-CLD-002,BTP Integration and Extension Services,DAY,10.000,10.000,3000.00,30000.00,EUR,2000,CC,0042200000,PC-CLD-001,00010
SES0000008,00010,SRV-CON-001,Business Process Analysis Workshop,HR,60.000,60.000,300.00,18000.00,USD,1000,CC,0042300000,PC-CON-001,00010
